city_state,id_num,population,crime_rate,rental_rate,walk_score
"La Porte, California",301,-18.0,46.36,2477.6,44.5
"La Presa, California",302,38462.0,46.36,2477.6,41.0
"La Puente, California",303,40405.0,16.4,2477.6,57.0
"La Quinta, California",304,42620.0,28.6,2477.6,22.0
"La Riviera, California",305,10703.0,46.36,2477.6,44.5
"Larkfield-Wikiup, California",306,8978.0,46.36,2477.6,44.5
"Larkspur, California",307,12569.0,46.36,2477.6,44.5
"La Selva Beach, California",308,2862.0,46.36,2477.6,44.5
"Las Flores (Orange County), California",309,5700.0,46.36,2477.6,44.5
"Las Flores (Tehama County), California",310,432.0,46.36,2477.6,44.5
"Las Lomas, California",311,3647.0,46.36,2477.6,44.5
"Lathrop, California",312,23277.0,46.36,2477.6,27.0
"Laton, California",313,2274.0,46.36,2477.6,44.5
"La Verne, California",314,32758.0,25.4,2477.6,40.0
"La Vina, California",315,0.0,46.36,2477.6,44.5
"Lawndale, California",316,33249.0,14.4,2477.6,81.0
"Laytonville, California",317,1167.0,46.36,2477.6,44.5
"Lebec, California",318,1469.0,46.36,2477.6,44.5
"Lee Vining, California",319,-41.0,46.36,2477.6,44.5
"Leggett, California",320,94.0,46.36,2477.6,44.5
"Le Grand, California",321,1648.0,46.36,2477.6,44.5
"Lemon Cove, California",322,283.0,46.36,2477.6,44.5
"Lemon Grove, California",323,27393.0,22.8,2477.6,49.0
"Lemon Hill, California",324,14457.0,46.36,2477.6,44.5
"Lemoore, California",325,26456.0,21.5,2477.6,40.0
"Lemoore Station, California",326,6451.0,46.36,2477.6,44.5
"Lennox, California",327,21508.0,46.36,2477.6,74.0
"Lenwood, California",328,4253.0,46.36,2477.6,44.5
"Leona Valley, California",329,1488.0,46.36,2477.6,44.5
"Lewiston, California",330,1373.0,46.36,2477.6,44.5
"Lexington Hills, California",331,2753.0,46.36,2477.6,44.5
"Likely, California",332,-29.0,46.36,2477.6,44.5
"Lincoln, California",333,50350.0,9.4,2477.6,22.0
"Lincoln Village, California",334,4945.0,46.36,2477.6,44.5
"Linda, California",335,20202.0,46.36,2477.6,24.0
"Lindcove, California",336,404.0,46.36,2477.6,44.5
"Linden, California",337,1794.0,46.36,2477.6,44.5
"Lindsay, California",338,13974.0,18.3,2477.6,44.5
"Linnell Camp, California",339,916.0,46.36,2477.6,44.5
"Litchfield, California",340,206.0,46.36,2477.6,44.5
"Little Grass Valley, California",341,-11.0,46.36,2477.6,44.5
"Little River, California",342,78.0,46.36,2477.6,44.5
"Littlerock, California",343,1800.0,46.36,2477.6,44.5
"Live Oak, California",344,13249.0,46.36,2477.6,53.0
"Livermore, California",345,92913.0,20.5,2477.6,40.0
"Livingston, California",346,14512.0,24.4,2477.6,44.5
"Lockeford, California",347,3394.0,46.36,2477.6,44.5
"Lockwood, California",348,698.0,46.36,2477.6,44.5
"Lodi, California",349,66107.0,29.8,2477.6,55.0
"Lodoga, California",350,137.0,46.36,2477.6,44.5
"Loleta, California",351,544.0,46.36,2477.6,44.5
"Loma Linda, California",352,24556.0,26.6,2477.6,36.0
"Loma Mar, California",353,209.0,46.36,2477.6,44.5
"Loma Rica, California",354,3200.0,46.36,2477.6,44.5
"Lomita, California",355,20812.0,18.2,2477.6,73.0
"Lompico, California",356,912.0,46.36,2477.6,44.5
"Lompoc, California",357,44234.0,26.7,2477.6,51.0
"London, California",358,1858.0,46.36,2477.6,44.5
"Lone Pine, California",359,1654.0,46.36,2477.6,44.5
"Long Barn, California",360,-11.0,46.36,2477.6,44.5
"Long Beach, California",361,472320.0,32.3,2673.7,72.0
"Lookout, California",362,85.0,46.36,2477.6,44.5
"Loomis, California",363,6856.0,46.36,2477.6,44.5
"Los Alamitos, California",364,11699.0,14.1,2477.6,44.5
"Los Alamos, California",365,1625.0,46.36,2477.6,44.5
"Los Altos, California",366,31374.0,9.6,2477.6,45.0
"Los Altos Hills, California",367,8758.0,6.4,2477.6,44.5
"Los Angeles, California",368,4033247.0,32.6,2673.7,68.0
"Los Banos, California",369,39474.0,30.6,2477.6,32.0
"Los Berros, California",370,500.0,46.36,2477.6,44.5
"Los Gatos, California",371,31543.0,15.2,2477.6,43.0
"Los Molinos, California",372,1647.0,46.36,2477.6,44.5
"Los Olivos, California",373,793.0,46.36,2477.6,44.5
"Los Osos, California",374,16622.0,46.36,2477.6,44.5
"Los Ranchos, California",375,1714.0,46.36,2477.6,44.5
"Lost Hills, California",376,1844.0,46.36,2477.6,44.5
"Lower Lake, California",377,1604.0,46.36,2477.6,44.5
