YEAR,City_State,POPULATION
2021,"Lake Almanor West, California",116.0
2021,"Lake Arrowhead, California",10391.0
2021,"Lake California, California",3292.0
2021,"Lake City, California",47.0
2021,"Lake Davis, California",71.0
2021,"Lake Don Pedro, California",916.0
2021,"Lake Elsinore, California",69803.0
2021,"Lake Forest, California",85113.0
2021,"Lakehead, California",782.0
2021,"Lake Hughes, California",468.0
2021,"Lake Isabella, California",3871.0
2021,"Lakeland Village, California",13288.0
2021,"Lake Los Angeles, California",11420.0
2021,"Lake Mathews, California",6844.0
2021,"Lake Nacimiento, California",3140.0
2021,"Lake of the Pines, California",4080.0
2021,"Lake of the Woods, California",911.0
2021,"Lakeport, California",4830.0
2021,"Lake Riverside, California",925.0
2021,"Lake San Marcos, California",4788.0
2021,"Lake Sherwood, California",1935.0
2021,"Lakeside, California",22558.0
2021,"Lakeview, California",2976.0
2021,"Lake Wildwood, California",5130.0
2021,"Lakewood, California",81207.0
2021,"La Mesa, California",60868.0
2021,"La Mirada, California",49356.0
2021,"Lamont, California",15102.0
2021,"Lanare, California",87.0
2021,"Lancaster, California",163693.0
2021,"La Palma, California",15851.0
2021,"La Porte, California",-18.0
2021,"La Presa, California",38462.0
2021,"La Puente, California",40405.0
2021,"La Quinta, California",42620.0
2021,"La Riviera, California",10703.0
2021,"Larkfield-Wikiup, California",8978.0
2021,"Larkspur, California",12569.0
2021,"La Selva Beach, California",2862.0
2021,"Las Flores (Orange County), California",5700.0
2021,"Las Flores (Tehama County), California",432.0
2021,"Las Lomas, California",3647.0
2021,"Lathrop, California",23277.0
2021,"Laton, California",2274.0
2021,"La Verne, California",32758.0
2021,"La Vina, California",0.0
2021,"Lawndale, California",33249.0
2021,"Laytonville, California",1167.0
2021,"Lebec, California",1469.0
2021,"Lee Vining, California",-41.0
2021,"Leggett, California",94.0
2021,"Le Grand, California",1648.0
2021,"Lemon Cove, California",283.0
2021,"Lemon Grove, California",27393.0
2021,"Lemon Hill, California",14457.0
2021,"Lemoore, California",26456.0
2021,"Lemoore Station, California",6451.0
2021,"Lennox, California",21508.0
2021,"Lenwood, California",4253.0
2021,"Leona Valley, California",1488.0
2021,"Lewiston, California",1373.0
2021,"Lexington Hills, California",2753.0
2021,"Likely, California",-29.0
2021,"Lincoln, California",50350.0
2021,"Lincoln Village, California",4945.0
2021,"Linda, California",20202.0
2021,"Lindcove, California",404.0
2021,"Linden, California",1794.0
2021,"Lindsay, California",13974.0
2021,"Linnell Camp, California",916.0
2021,"Litchfield, California",206.0
2021,"Little Grass Valley, California",-11.0
2021,"Little River, California",78.0
2021,"Littlerock, California",1800.0
2021,"Live Oak, California",13249.0
2021,"Livermore, California",92913.0
2021,"Livingston, California",14512.0
2021,"Lockeford, California",3394.0
2021,"Lockwood, California",698.0
2021,"Lodi, California",66107.0
2021,"Lodoga, California",137.0
2021,"Loleta, California",544.0
2021,"Loma Linda, California",24556.0
2021,"Loma Mar, California",209.0
2021,"Loma Rica, California",3200.0
2021,"Lomita, California",20812.0
2021,"Lompico, California",912.0
2021,"Lompoc, California",44234.0
2021,"London, California",1858.0
2021,"Lone Pine, California",1654.0
2021,"Long Barn, California",-11.0
2021,"Long Beach, California",472320.0
2021,"Lookout, California",85.0
2021,"Loomis, California",6856.0
2021,"Los Alamitos, California",11699.0
2021,"Los Alamos, California",1625.0
2021,"Los Altos, California",31374.0
2021,"Los Altos Hills, California",8758.0
2021,"Los Angeles, California",4033247.0
2021,"Los Banos, California",39474.0
2021,"Los Berros, California",500.0
2021,"Los Gatos, California",31543.0
2021,"Los Molinos, California",1647.0
2021,"Los Olivos, California",793.0
2021,"Los Osos, California",16622.0
2021,"Los Ranchos, California",1714.0
2021,"Lost Hills, California",1844.0
2021,"Lower Lake, California",1604.0
2021,"Loyalton, California",1146.0
2021,"Loyola, California",3329.0
2021,"Lucas Valley-Marinwood, California",7056.0
2021,"Lucerne, California",3222.0
2021,"Lucerne Valley, California",5447.0
2021,"Lynwood, California",71646.0
2021,"Lytle Creek, California",852.0
2021,"Mabie, California",10.0
2021,"McArthur, California",500.0
2021,"McClellan Park, California",1042.0
2021,"McClenney Tract, California",45.0
2021,"McCloud, California",994.0
2021,"Macdoel, California",73.0
2021,"McFarland, California",15038.0
2021,"McGee Creek, California",6.0
2021,"McKinleyville, California",16884.0
2021,"McKittrick, California",132.0
2021,"McSwain, California",4500.0
2021,"Madera, California",66431.0
2021,"Madera Acres, California",10275.0
2021,"Madison, California",711.0
2021,"Mad River, California",500.0
2021,"Magalia, California",12257.0
2021,"Malaga, California",1439.0
2021,"Malibu, California",12795.0
2021,"Mammoth Lakes, California",8134.0
2021,"Manchester, California",195.0
2021,"Manhattan Beach, California",35900.0
2021,"Manila, California",765.0
2021,"Manteca, California",81726.0
2021,"Manton, California",424.0
2021,"March ARB, California",1190.0
2021,"Maricopa, California",1149.0
2021,"Marina, California",22340.0
2021,"Marina del Rey, California",10075.0
2021,"Marin City, California",3278.0
2021,"Mariposa, California",902.0
2021,"Markleeville, California",121.0
2021,"Martell, California",409.0
2021,"Martinez, California",39089.0
2021,"Marysville, California",12252.0
2021,"Matheny, California",1110.0
2021,"Mather, California",4210.0
2021,"Maxwell, California",1058.0
2021,"Mayfair, California",5224.0
2021,"Mayflower Village, California",5769.0
2021,"Maywood, California",27587.0
2021,"Meadowbrook, California",3155.0
2021,"Meadow Valley, California",316.0
2021,"Meadow Vista, California",3552.0
2021,"Mead Valley, California",21181.0
2021,"Mecca, California",7389.0
2021,"Meiners Oaks, California",3430.0
2021,"Mendocino, California",675.0
2021,"Mendota, California",11848.0
2021,"Menifee, California",94636.0
2021,"Menlo Park, California",34863.0
2021,"Mentone, California",10490.0
2021,"Merced, California",84354.0
2021,"Meridian, California",408.0
2021,"Mesa, California",271.0
2021,"Mesa Verde, California",576.0
2021,"Mesa Vista, California",270.0
2021,"Mettler, California",134.0
2021,"Mexican Colony, California",499.0
2021,"Middletown, California",257.0
2021,"Midpines, California",1578.0
2021,"Midway City, California",9040.0
2021,"Milford, California",237.0
2021,"Millbrae, California",23375.0
2021,"Mill Valley, California",14624.0
2021,"Millville, California",653.0
2021,"Milpitas, California",81971.0
2021,"Mineral, California",378.0
2021,"Minkler, California",1184.0
2021,"Mira Loma, California",28703.0
2021,"Mira Monte, California",6393.0
2021,"Miranda, California",862.0
2021,"Mission Canyon, California",2949.0
2021,"Mission Hills, California",3952.0
2021,"Mission Viejo, California",97605.0
2021,"Mi-Wuk Village, California",1176.0
2021,"Modesto, California",215221.0
2021,"Mohawk Vista, California",55.0
2021,"Mojave, California",4301.0
2021,"Mokelumne Hill, California",605.0
2021,"Monmouth, California",154.0
2021,"Mono City, California",71.0
2021,"Mono Vista, California",3457.0
2021,"Monrovia, California",37202.0
2021,"Monson, California",438.0
2021,"Montague, California",1456.0
2021,"Montalvin Manor, California",3144.0
2021,"Montara, California",2653.0
2021,"Montclair, California",39736.0
2021,"Montebello, California",63517.0
2021,"Montecito, California",8610.0
2021,"Monterey, California",28751.0
2021,"Monterey Park, California",61099.0
2021,"Monterey Park Tract, California",247.0
2021,"Monte Rio, California",1016.0
2021,"Monte Sereno, California",3594.0
2021,"Montgomery Creek, California",116.0
2021,"Monument Hills, California",1751.0
2021,"Moorpark, California",37114.0
2021,"Morada, California",3722.0
2021,"Moraga, California",17925.0
2021,"Moreno Valley, California",212252.0
2021,"Morgan Hill, California",46581.0
2021,"Morongo Valley, California",3000.0
2021,"Morro Bay, California",10712.0
2021,"Moskowite Corner, California",165.0
2021,"Moss Beach, California",4422.0
2021,"Moss Landing, California",-1.0
2021,"Mountain Center, California",-2.0
