,City_State,Jan_2021
412,"New York, New York",2074.369872132582
413,"Washington, District of Columbia",1833.205616576706
414,"Miami-Fort Lauderdale, Florida",1632.7232254369044
415,"Washington, District of Columbia",2075.7479852408037
416,"Atlanta, Georgia",1387.5443976782503
417,"Atlanta, Georgia",1585.6523868084057
418,"Cincinnati, Ohio",1886.687942439394
419,"Chicago, Illinois",1601.8929062035209
420,"San Diego, California",2292.6827437763322
421,"Miami-Fort Lauderdale, Florida",1689.1172434852633
422,"Phoenix, Arizona",1215.056822367452
423,"San Jose, California",2791.312025322679
424,"Daytona Beach, Florida",1707.1611307052467
425,"New York, New York",2468.4318115544065
426,"Boulder, Colorado",1951.3312170937827
427,"Miami-Fort Lauderdale, Florida",2007.2119631500445
428,"Philadelphia, Pennsylvania",1195.1962355259438
429,"Richmond, Virginia",1749.3796085542633
430,"Detroit, Michigan",1126.3968610359202
431,"San Diego, California",2523.8888506234357
432,"Denver, Colorado",1821.231176464319
433,"Orlando, Florida",1266.1693367137818
434,"Columbia, South Carolina",1409.518945202065
435,"Philadelphia, Pennsylvania",1832.5449915393576
436,"Augusta, Georgia",1217.7895305642683
437,"Virginia Beach, Virginia",1820.6947572608406
438,"Phoenix, Arizona",1597.8190990409253
439,"Miami-Fort Lauderdale, Florida",1626.7225580730458
440,"Orlando, Florida",1280.0649971186022
441,"Fort Myers, Florida",2051.6886777839322
442,"Los Angeles-Long Beach-Anaheim, California",2294.682214194177
443,"Ogden, Utah",1700.256968847283
444,"Los Angeles-Long Beach-Anaheim, California",2188.014190016893
445,"Houston, Texas",1775.6694935629537
446,"Portland, Oregon",1591.6559276120004
447,"Dallas-Fort Worth, Texas",1684.8055075023278
448,"San Francisco, California",2644.566674264925
449,"Riverside, California",2315.7662061225533
450,"Dallas-Fort Worth, Texas",1795.0286936034604
451,"Miami-Fort Lauderdale, Florida",2074.6302131395887
452,"Tampa, Florida",1770.9047404206715
453,"San Francisco, California",3157.5893503512366
454,"Riverside, California",2407.7328151977163
455,"Washington, District of Columbia",2294.6103445292174
456,"Indianapolis, Indiana",1880.5694417140185
457,"Houston, Texas",1738.177135166749
458,"Dallas-Fort Worth, Texas",1643.9830729818652
459,"Atlanta, Georgia",1850.2873591255047
460,"Miami-Fort Lauderdale, Florida",2976.997346963629
461,"Memphis, Tennessee",1608.7164894533998
462,"Miami-Fort Lauderdale, Florida",1966.4463732813701
463,"Phoenix, Arizona",1360.9748902735803
464,"New York, New York",2670.6600550138164
465,"Miami-Fort Lauderdale, Florida",2359.856425298541
466,"Phoenix, Arizona",1706.8746593534684
467,"San Antonio, Texas",1149.0048088904332
468,"Raleigh, North Carolina",1552.7119300347372
469,"Chicago, Illinois",1158.6441095709708
470,"Austin, Texas",1577.494298887756
471,"Baltimore, Maryland",1230.8139856496582
472,"Raleigh, North Carolina",1187.7809532752804
473,"Los Angeles-Long Beach-Anaheim, California",2561.9850501323817
474,"San Diego, California",2391.76900017211
475,"Jacksonville, Florida",1536.6338452831442
476,"Stamford, Connecticut",1689.678025136351
477,"Washington, District of Columbia",1974.6725184138124
478,"Los Angeles-Long Beach-Anaheim, California",2201.7603716634694
479,"Philadelphia, Pennsylvania",1620.2926063703458
480,"Denver, Colorado",2017.223768145869
481,"Los Angeles-Long Beach-Anaheim, California",2278.062256176298
482,"Dallas-Fort Worth, Texas",1850.906878172295
483,"Philadelphia, Pennsylvania",1325.0267590103617
484,"Detroit, Michigan",1724.055430848108
485,"Greensboro, North Carolina",1193.9703930113187
486,"Port St. Lucie, Florida",1494.1634819165215
487,"Raleigh, North Carolina",1593.1235038625196
488,"Phoenix, Arizona",1451.8182883570219
489,"Baltimore, Maryland",1233.1927084689855
490,"Dallas-Fort Worth, Texas",1601.3960413049053
491,"Philadelphia, Pennsylvania",1467.3559538167124
492,"Urban Honolulu, Hawaii",1944.7374724902468
493,"New York, New York",1852.7327947203737
494,"San Diego, California",3463.6494121010974
495,"Riverside, California",2135.1792152751996
496,"Greenville, South Carolina",1239.592784857399
497,"Lakeland, Florida",1597.721641255848
498,"Las Vegas, Nevada",1120.867747370295
499,"Washington, District of Columbia",2042.356909490978
500,"Orlando, Florida",1387.6556050542013
501,"Philadelphia, Pennsylvania",1285.9706462009028
502,"Washington, District of Columbia",1786.1990101531337
503,"Las Vegas, Nevada",1614.5806873519111
504,"Miami-Fort Lauderdale, Florida",1502.5125345685894
505,"Riverside, California",2576.4326582445133
506,"Los Angeles-Long Beach-Anaheim, California",1692.5072517505248
507,"Urban Honolulu, Hawaii",1863.3183607387625
508,"New York, New York",1949.4644932907818
509,"Virginia Beach, Virginia",1645.44331386606
510,"New York, New York",2117.193573846982
511,"Dallas-Fort Worth, Texas",1695.9987952168087
512,"Portland, Oregon",1576.5452667197656
513,"Las Vegas, Nevada",1455.254591479781
514,"Virginia Beach, Virginia",1259.6199227611291
515,"Riverside, California",2213.5040828372084
516,"Charlotte, North Carolina",2101.471901588795
517,"San Antonio, Texas",1442.1672671829679
518,"St. Louis, Missouri",955.3073540861575
519,"Chicago, Illinois",1443.056980400569
520,"Dallas-Fort Worth, Texas",1564.1882721360034
521,"Miami-Fort Lauderdale, Florida",1639.8370669947933
522,"Raleigh, North Carolina",1443.2065098583505
523,"San Jose, California",3121.766198067291
